FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e3,16984011,MB,NO,2026_MB_MB-NO072,MB-NO072,N,-1,-1,-1,-1,1907.8,MOD,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,58.7597,-101.4506,POINT (-362875.477774 1088294.869883),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e2,16984012,MB,NO,2026_MB_MB-NO073,MB-NO073,N,-1,-1,-1,-1,3461.4,MON,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,58.6919,-100.9928,POINT (-337893.914177 1078456.559065),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e1,16909429,MB,NO,2026_MB_MB-NO158,MB-NO158,N,-1,-1,-1,-1,140.0,MON,OC,2026-07-01T05:00:00,2026-07-31T13:56:00,58.7042,-96.9983,POINT (-112779.477962 1065625.410372),2026,2026,2026-07-01T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e0,16898307,MB,NO,2026_MB_MB-NO152,MB-NO152,N,-1,-1,-1,-1,88.0,MON,OC,2026-07-01T05:00:00,2026-07-31T13:56:00,59.4486,-98.1053,POINT (-171272.901472 1148742.079935),2026,2026,2026-07-01T19:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56df,16878422,MB,NO,2026_MB_MB-NO147,MB-NO147,N,-1,-1,-1,-1,1500.0,MON,OC,2026-06-30T05:00:00,2026-07-31T13:56:00,59.9358,-99.6858,POINT (-254432.797509 1206717.641401),2026,2026,2026-07-01T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56de,16878421,MB,NO,2026_MB_MB-NO146,MB-NO146,N,-1,-1,-1,-1,938.0,MON,OC,2026-06-30T05:00:00,2026-07-31T13:56:00,58.0242,-98.0069,POINT (-173154.22182 994153.581473),2026,2026,2026-07-01T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56dd,16813487,MB,NO,2026_MB_MB-NO142,MB-NO142,N,-1,-1,-1,-1,120.0,MON,OC,2026-06-29T05:00:00,2026-07-31T13:56:00,59.1581,-98.4028,POINT (-189350.497944 1118136.473932),2026,2026,2026-06-30T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56dc,16813488,MB,NO,2026_MB_MB-NO143,MB-NO143,N,-1,-1,-1,-1,1000.0,MON,OC,2026-06-29T05:00:00,2026-07-31T13:56:00,59.7264,-99.2869,POINT (-234335.855208 1182556.088514),2026,2026,2026-06-30T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56db,16813489,MB,NO,2026_MB_MB-NO144,MB-NO144,N,-1,-1,-1,-1,1700.0,MON,OC,2026-06-29T05:00:00,2026-07-31T13:56:00,59.7725,-100.1117,POINT (-278927.636089 1190864.955655),2026,2026,2026-06-30T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56da,16753471,MB,NO,2026_MB_MB-NO129,MB-NO129,N,-1,-1,-1,-1,320.0,MON,OC,2026-06-28T05:00:00,2026-07-31T13:56:00,57.7364,-100.455,POINT (-316534.430475 972388.448985),2026,2026,2026-06-29T14:45:00,2026-12-31T23:59:59.999
