lat,lon,hectares,stage_of_control
65.15776062,-117.70884705,4.16477251,Unknown
64.6690979,-121.43591309,5.9204545,Unknown
65.58556366,-117.15779877,2.98011351,Unknown
65.56902313,-117.19104004,2.98011351,Unknown
65.57739258,-117.20062256,2.98011351,Unknown
65.57309723,-117.16972351,2.98011351,Unknown
65.58148956,-117.17917633,2.98011351,Unknown
66.2485733,-122.69595337,5.9204545,Unknown
62.20375824,-121.3245163,5.9204545,Unknown
62.19721985,-121.29218292,5.9204545,Unknown
62.23891068,-120.98504639,5.9204545,Unknown
63.70426941,-119.62242889,0.0,Unknown
63.71763992,-119.62496185,0.0,Unknown
63.69683838,-119.47309875,5.9204545,Unknown
63.70223999,-119.6712265,5.9204545,Unknown
64.7199707,-121.32076263,5.9204545,Unknown
64.71781921,-121.36627197,5.9204545,Unknown
64.76254272,-120.95977783,5.9204545,Unknown
64.77542114,-120.96257782,5.9204545,Unknown
64.77327728,-121.00898743,5.9204545,Unknown
65.70968628,-119.31001282,0.0,Unknown
65.56646729,-123.51622772,5.9204545,Unknown
65.59493256,-123.53057861,5.9204545,Unknown
50.0069809,-121.51331329,2.86079526,Unknown
50.21600723,-89.57419586,5.846591,Unknown
50.21394348,-89.58159637,5.846591,Unknown
50.21184158,-89.58912659,5.846591,Unknown
32.02854919,-84.32544708,15.846591,Unknown
27.12995911,-109.94673157,0.0,Unknown
29.05294037,-113.50301361,0.0,Unknown
46.14551163,-104.28150177,11.73863602,Unknown
46.14981842,-104.30240631,11.73863602,Unknown
33.65607834,-96.6971817,12.8125,Unknown
38.12522888,-105.1700592,5.971591,Unknown
38.21828079,-107.37006378,5.971591,Unknown
38.06269073,-105.08006287,2.81628799,Unknown
40.70182037,-75.34398651,15.846591,Unknown
39.99888992,-77.69432068,15.846591,Unknown
40.2862587,-77.26938629,15.846591,Unknown
39.50041962,-78.0422287,15.846591,Unknown
42.56842041,-78.40368652,16.00665665,Unknown
27.16363907,-112.02390289,0.0,Unknown
27.31598091,-112.09810638,0.0,Unknown
27.36430931,-112.10877991,0.0,Unknown
27.56393051,-111.91771698,0.0,Unknown
39.33343124,-121.28320312,7.784091,Unknown
50.31069565,-89.25070953,5.846591,Unknown
50.30868912,-89.25801849,5.846591,Unknown
50.29949951,-89.27601624,5.846591,Unknown
50.3052063,-89.26223755,5.846591,Unknown
50.30411148,-89.29110718,5.846591,Unknown
50.30302429,-89.31960297,5.846591,Unknown
50.63983536,-89.02684784,5.846591,Unknown
50.63879395,-89.05627441,5.846591,Unknown
50.64996338,-89.31754303,5.846591,Unknown
50.64864349,-89.35167694,5.846591,Unknown
50.64790726,-89.37041473,5.846591,Unknown
50.6953392,-90.76906586,5.846591,Unknown
50.69491959,-90.77733612,5.846591,Unknown
50.77090454,-89.17969513,5.846591,Unknown
50.77071381,-89.1847229,5.846591,Unknown
50.77015305,-89.1995697,5.846591,Unknown
50.85699081,-89.53917694,5.846591,Unknown
50.85622787,-89.55809784,5.846591,Unknown
50.85584641,-89.56760406,5.846591,Unknown
50.94156647,-89.40592957,5.846591,Unknown
50.94653702,-89.41153717,5.846591,Unknown
51.46049118,-87.76465607,5.846591,Unknown
51.46020508,-87.77629089,5.846591,Unknown
51.46006775,-87.78213501,5.846591,Unknown
51.45992279,-87.78799438,5.846591,Unknown
51.47032928,-87.77033997,5.846591,Unknown
51.47020721,-87.77617645,5.846591,Unknown
50.24821091,-89.22634888,5.846591,Unknown
27.84247971,-81.62684631,,Unknown
35.57738876,-81.31587219,,Unknown
37.26681137,-86.98313904,,Unknown
35.69395828,-81.15875244,,Unknown
37.61964035,-84.30872345,,Unknown
37.88338852,-84.10237885,,Unknown
37.14733124,-84.12249756,,Unknown
39.83132172,-85.43914795,,Unknown
38.94123077,-84.61737061,,Unknown
39.28916168,-94.57824707,,Unknown
39.28786087,-94.5838623,,Unknown
30.23706055,-81.57528687,,Unknown
30.74505043,-83.27427673,,Unknown
55.05862045,-104.50498199,7.528409,Unknown
